month,naics2d_code,naics2d_name,employment_nsa,employment_sa
2022-01,23,Construction,7717479,7734676
2022-01,31-33,Manufacturing,12615557,12618287
2022-01,42,Wholesale Trade,5958498,5963773
2022-01,44-45,Retail Trade,15233557,15223020
2022-01,48-49,Transportation and Warehousing,6496694,6488293
2022-01,51,Information,3014364,3007837
2022-01,52-53,Financial Activities,8988705,9001862
2022-01,54-56,Professional and Business Services,21478561,21455416
2022-01,61-62,Education and Health Services,24595810,24456817
2022-01,71-72,Leisure and Hospitality,15720284,15804794
2022-01,81,Other Services (except Public Administration),5610505,5611689
2022-01,92,Public Administration,22509666,22481856
2022-01,99,Unclassified,365544,366676
2022-02,11,"Agriculture, Forestry, Fishing and Hunting",206835,208758
2022-02,21,"Mining, Quarrying, and Oil and Gas Extraction",614598,615586
2022-02,22,Utilities,356142,357170
2022-02,23,Construction,7723739,7759049
2022-02,31-33,Manufacturing,12607494,12646203
2022-02,42,Wholesale Trade,5959263,5978713
2022-02,44-45,Retail Trade,15202451,15263447
2022-02,48-49,Transportation and Warehousing,6486950,6500314
2022-02,51,Information,3016561,3019316
2022-02,52-53,Financial Activities,8982103,8998994
2022-02,54-56,Professional and Business Services,21504088,21539194
2022-02,61-62,Education and Health Services,24613573,24535789
2022-02,71-72,Leisure and Hospitality,15740489,15861754
2022-02,81,Other Services (except Public Administration),5612331,5629021
2022-02,92,Public Administration,22489230,22509616
2022-02,99,Unclassified,365068,366946
2022-03,11,"Agriculture, Forestry, Fishing and Hunting",208036,209359
2022-03,21,"Mining, Quarrying, and Oil and Gas Extraction",615779,616715
2022-03,22,Utilities,357074,357751
2022-03,23,Construction,7751040,7780830
2022-03,31-33,Manufacturing,12636777,12669680
2022-03,42,Wholesale Trade,5975282,5991221
2022-03,44-45,Retail Trade,15232305,15289516
2022-03,48-49,Transportation and Warehousing,6499292,6511100
2022-03,51,Information,3028160,3031353
2022-03,52-53,Financial Activities,8999364,9013819
2022-03,54-56,Professional and Business Services,21578485,21612489
2022-03,61-62,Education and Health Services,24685074,24609368
2022-03,71-72,Leisure and Hospitality,15838119,15922822
2022-03,81,Other Services (except Public Administration),5634672,5645959
2022-03,92,Public Administration,22516104,22539094
2022-03,99,Unclassified,365935,367317
2022-04,11,"Agriculture, Forestry, Fishing and Hunting",208662,209704
2022-04,21,"Mining, Quarrying, and Oil and Gas Extraction",616160,617849
2022-04,22,Utilities,357589,358468
2022-04,23,Construction,7769383,7802019
2022-04,31-33,Manufacturing,12649798,12691262
2022-04,42,Wholesale Trade,5984544,6002318
2022-04,44-45,Retail Trade,15244364,15309602
2022-04,48-49,Transportation and Warehousing,6506542,6522477
2022-04,51,Information,3033471,3041750
2022-04,52-53,Financial Activities,9003555,9028134
2022-04,54-56,Professional and Business Services,21618257,21682597
2022-04,61-62,Education and Health Services,24713396,24682452
2022-04,71-72,Leisure and Hospitality,15918529,15985596
2022-04,81,Other Services (except Public Administration),5648409,5660495
2022-04,92,Public Administration,22525503,22562072
2022-04,99,Unclassified,366595,367729
2022-05,11,"Agriculture, Forestry, Fishing and Hunting",210978,210545
2022-05,21,"Mining, Quarrying, and Oil and Gas Extraction",617931,618703
2022-05,22,Utilities,359037,358999
2022-05,23,Construction,7827557,7823162
2022-05,31-33,Manufacturing,12707982,12725122
2022-05,42,Wholesale Trade,6015408,6017540
2022-05,44-45,Retail Trade,15332334,15343073
2022-05,48-49,Transportation and Warehousing,6530789,6536704
2022-05,51,Information,3043834,3052491
2022-05,52-53,Financial Activities,9027064,9040673
2022-05,54-56,Professional and Business Services,21735120,21754556
2022-05,61-62,Education and Health Services,24712058,24761122
2022-05,71-72,Leisure and Hospitality,16151914,16087958
2022-05,81,Other Services (except Public Administration),5680728,5678626
2022-05,92,Public Administration,22596045,22590446
2022-05,99,Unclassified,369100,368573
2022-06,11,"Agriculture, Forestry, Fishing and Hunting",213072,211449
2022-06,21,"Mining, Quarrying, and Oil and Gas Extraction",620284,619527
2022-06,22,Utilities,360533,360096
2022-06,23,Construction,7879531,7843706
2022-06,31-33,Manufacturing,12770893,12747605
2022-06,42,Wholesale Trade,6043966,6031972
2022-06,44-45,Retail Trade,15427896,15396191
2022-06,48-49,Transportation and Warehousing,6553991,6545855
2022-06,51,Information,3054284,3059624
2022-06,52-53,Financial Activities,9067065,9053939
2022-06,54-56,Professional and Business Services,21852690,21826002
2022-06,61-62,Education and Health Services,24571900,24844339
2022-06,71-72,Leisure and Hospitality,16345434,16221388
2022-06,81,Other Services (except Public Administration),5704221,5697442
