month,naics2d_code,naics2d_name_x,employment_nsa_revelio,employment_sa_revelio,employment_nsa_bls,employment_sa_bls,naics2d_name_y,employment_nsa_adp,employment_sa_adp
2023-04,NF,Total nonfarm (Revelio published),156252268.0,156604366.0,155155000.0,155387000.0,,,
2023-05,NF,Total nonfarm (Revelio published),156840467.0,156825080.0,156038000.0,155614000.0,,,
2023-06,NF,Total nonfarm (Revelio published),157074874.0,157025816.0,156701000.0,155871000.0,,,
2023-07,NF,Total nonfarm (Revelio published),157093422.0,157191273.0,155779000.0,156019000.0,,,
2023-08,NF,Total nonfarm (Revelio published),157962143.0,157379857.0,156107000.0,156176000.0,,,
2023-09,NF,Total nonfarm (Revelio published),157577748.0,157508021.0,156563000.0,156334000.0,,,
2023-10,NF,Total nonfarm (Revelio published),157885327.0,157722730.0,157531000.0,156520000.0,,,
2023-11,NF,Total nonfarm (Revelio published),158009139.0,157850317.0,157950000.0,156661000.0,,,
2023-12,NF,Total nonfarm (Revelio published),157896248.0,157934849.0,157828000.0,156930000.0,,,
2024-01,NF,Total nonfarm (Revelio published),158082039.0,158065383.0,154942000.0,157049000.0,,,
2024-02,NF,Total nonfarm (Revelio published),157850966.0,158160444.0,156007000.0,157271000.0,,,
2024-03,NF,Total nonfarm (Revelio published),158039127.0,158259631.0,156612000.0,157517000.0,,,
2024-04,NF,Total nonfarm (Revelio published),158084799.0,158397099.0,157438000.0,157635000.0,,,
2024-05,NF,Total nonfarm (Revelio published),158452390.0,158410252.0,158256000.0,157828000.0,,,
2024-06,NF,Total nonfarm (Revelio published),158546595.0,158498528.0,158722000.0,157915000.0,,,
2024-07,NF,Total nonfarm (Revelio published),158507101.0,158602349.0,157771000.0,158003000.0,,,
2024-08,NF,Total nonfarm (Revelio published),159267247.0,158710080.0,158070000.0,158074000.0,,,
2024-09,NF,Total nonfarm (Revelio published),158847863.0,158823170.0,158527000.0,158314000.0,,,
2024-10,NF,Total nonfarm (Revelio published),159054568.0,158929118.0,159352000.0,158358000.0,,,
2024-11,NF,Total nonfarm (Revelio published),159160401.0,159023764.0,159882000.0,158619000.0,,,
2024-12,NF,Total nonfarm (Revelio published),159021725.0,159040434.0,159923000.0,158942000.0,,,
2025-01,NF,Total nonfarm (Revelio published),159096344.0,159112797.0,157095000.0,159053000.0,,,
2025-02,NF,Total nonfarm (Revelio published),158869575.0,159148211.0,157944000.0,159155000.0,,,
2025-03,NF,Total nonfarm (Revelio published),159036745.0,159218911.0,158402000.0,159275000.0,,,
2025-04,NF,Total nonfarm (Revelio published),159008763.0,159280995.0,159227000.0,159433000.0,,,
2025-05,NF,Total nonfarm (Revelio published),159315378.0,159246493.0,159930000.0,159452000.0,,,
2025-06,NF,Total nonfarm (Revelio published),159284741.0,159237789.0,160256000.0,159439000.0,,,
2025-07,NF,Total nonfarm (Revelio published),159165226.0,159257997.0,159219000.0,159511000.0,,,
2025-08,NF,Total nonfarm (Revelio published),159749955.0,159218204.0,159404000.0,159485000.0,,,
2025-09,NF,Total nonfarm (Revelio published),159235598.0,159256049.0,159732000.0,159593000.0,,,
2025-10,NF,Total nonfarm (Revelio published),159328789.0,159240592.0,160411000.0,159488000.0,,,
2025-11,NF,Total nonfarm (Revelio published),159345937.0,159231610.0,160652000.0,159552000.0,,,
2021-01,11,"Agriculture, Forestry, Fishing and Hunting",282522.0,285068.0,,,,,
2021-01,21,"Mining, Quarrying, and Oil and Gas Extraction",614805.0,614841.0,541000.0,,Natural resources and mining,1600000.0,1683000.0
2021-01,22,Utilities,456547.0,456824.0,541300.0,542200.0,,,
2021-01,23,Construction,7523611.0,7543314.0,7033000.0,,Construction,7121000.0,7231000.0
2021-01,31-33,Manufacturing,12239313.0,12241473.0,12066000.0,,Manufacturing,12167000.0,12222000.0
2021-01,42,Wholesale Trade,5799665.0,5806175.0,5581900.0,,,,
2021-01,44-45,Retail Trade,14761418.0,14749370.0,15096300.0,,,,
2021-01,48-49,Transportation and Warehousing,6601940.0,6578370.0,5932100.0,5903900.0,,,
2021-01,51,Information,2882834.0,2878024.0,2717000.0,,Information,2734000.0,2755000.0
2021-01,52-53,Financial Activities,8742222.0,8740463.0,8679000.0,,Financial activities,8241000.0,8335000.0
2021-01,54-56,Professional and Business Services,20686522.0,20657202.0,20578000.0,,Professional and business services,20614000.0,20846000.0
2021-01,61-62,Education and Health Services,23472069.0,23318024.0,23209000.0,,Education and health services,22594000.0,22767000.0
2021-01,71-72,Leisure and Hospitality,14603303.0,14709218.0,12099000.0,,Leisure and hospitality,12911000.0,13540000.0
2021-01,81,Other Services (except Public Administration),5427232.0,5430445.0,5241000.0,,Other services,4025000.0,4078000.0
2021-01,92,Public Administration,22185565.0,22153608.0,21660000.0,,,,
2021-01,99,Unclassified,511411.0,513185.0,,,,,
2021-02,11,"Agriculture, Forestry, Fishing and Hunting",282690.0,286095.0,,,,,
2021-02,21,"Mining, Quarrying, and Oil and Gas Extraction",611468.0,612869.0,531000.0,,Natural resources and mining,1613000.0,1688000.0
2021-02,22,Utilities,456248.0,457717.0,539900.0,542500.0,,,
2021-02,23,Construction,7519865.0,7560383.0,6970000.0,,Construction,7125000.0,7251000.0
2021-02,31-33,Manufacturing,12223709.0,12272251.0,12127000.0,,Manufacturing,12180000.0,12254000.0
2021-02,42,Wholesale Trade,5794423.0,5818365.0,5589600.0,,,,
2021-02,44-45,Retail Trade,14693860.0,14766575.0,14986000.0,,,,
2021-02,48-49,Transportation and Warehousing,6565887.0,6586392.0,5906900.0,5932300.0,,,
2021-02,51,Information,2883467.0,2887679.0,2749000.0,,Information,2745000.0,2770000.0
2021-02,52-53,Financial Activities,8739257.0,8768609.0,8674000.0,,Financial activities,8243000.0,8351000.0
2021-02,54-56,Professional and Business Services,20698930.0,20737042.0,20754000.0,,Professional and business services,20654000.0,20921000.0
2021-02,61-62,Education and Health Services,23476310.0,23398646.0,23503000.0,,Education and health services,22567000.0,22760000.0
2021-02,71-72,Leisure and Hospitality,14606780.0,14754753.0,12540000.0,,Leisure and hospitality,12752000.0,13517000.0
2021-02,81,Other Services (except Public Administration),5422563.0,5443394.0,5266000.0,,Other services,4006000.0,4075000.0
2021-02,92,Public Administration,22153552.0,22176888.0,21993000.0,,,,
2021-02,99,Unclassified,510847.0,514279.0,,,,,
2021-03,11,"Agriculture, Forestry, Fishing and Hunting",285396.0,287798.0,,,,,
2021-03,21,"Mining, Quarrying, and Oil and Gas Extraction",610713.0,611937.0,547000.0,,Natural resources and mining,1637000.0,1690000.0
2021-03,22,Utilities,457973.0,459077.0,542200.0,543300.0,,,
2021-03,23,Construction,7549580.0,7583704.0,7162000.0,,Construction,7144000.0,7277000.0
2021-03,31-33,Manufacturing,12263470.0,12306765.0,12183000.0,,Manufacturing,12205000.0,12281000.0
2021-03,42,Wholesale Trade,5810593.0,5830986.0,5609300.0,,,,
2021-03,44-45,Retail Trade,14728548.0,14797620.0,15035000.0,,,,
2021-03,48-49,Transportation and Warehousing,6576572.0,6593529.0,5953700.0,6019500.0,,,
2021-03,51,Information,2898056.0,2903464.0,2759000.0,,Information,2755000.0,2781000.0
2021-03,52-53,Financial Activities,8767127.0,8795270.0,8686000.0,,Financial activities,8256000.0,8361000.0
2021-03,54-56,Professional and Business Services,20784235.0,20819799.0,20873000.0,,Professional and business services,20735000.0,21011000.0
2021-03,61-62,Education and Health Services,23555859.0,23483368.0,23643000.0,,Education and health services,22628000.0,22794000.0
2021-03,71-72,Leisure and Hospitality,14721597.0,14827267.0,12876000.0,,Leisure and hospitality,12857000.0,13558000.0
2021-03,81,Other Services (except Public Administration),5443855.0,5459544.0,5296000.0,,Other services,4013000.0,4081000.0
2021-03,92,Public Administration,22188858.0,22214184.0,22143000.0,,,,
2021-03,99,Unclassified,513434.0,516150.0,,,,,
2021-04,11,"Agriculture, Forestry, Fishing and Hunting",288006.0,289715.0,,,,,
2021-04,21,"Mining, Quarrying, and Oil and Gas Extraction",609392.0,611513.0,548000.0,,Natural resources and mining,1672000.0,1685000.0
2021-04,22,Utilities,458576.0,460006.0,542500.0,543900.0,,,
2021-04,23,Construction,7566996.0,7601232.0,7328000.0,,Construction,7195000.0,7298000.0
2021-04,31-33,Manufacturing,12281066.0,12331820.0,12139000.0,,Manufacturing,12169000.0,12274000.0
2021-04,42,Wholesale Trade,5821115.0,5842244.0,5635100.0,,,,
2021-04,44-45,Retail Trade,14768130.0,14844430.0,15022300.0,,,,
2021-04,48-49,Transportation and Warehousing,6584511.0,6602951.0,5891200.0,6009000.0,,,
2021-04,51,Information,2905710.0,2914417.0,2789000.0,,Information,2763000.0,2790000.0
2021-04,52-53,Financial Activities,8776548.0,8814645.0,8713000.0,,Financial activities,8264000.0,8349000.0
2021-04,54-56,Professional and Business Services,20829731.0,20891374.0,21055000.0,,Professional and business services,20763000.0,21055000.0
2021-04,61-62,Education and Health Services,23585565.0,23556096.0,23715000.0,,Education and health services,22632000.0,22799000.0
2021-04,71-72,Leisure and Hospitality,14835718.0,14922450.0,13435000.0,,Leisure and hospitality,13215000.0,13635000.0
2021-04,81,Other Services (except Public Administration),5458225.0,5476693.0,5357000.0,,Other services,4042000.0,4108000.0
2021-04,92,Public Administration,22206339.0,22244811.0,22233000.0,,,,
2021-04,99,Unclassified,515252.0,517584.0,,,,,
2021-05,11,"Agriculture, Forestry, Fishing and Hunting",293325.0,292861.0,,,,,
2021-05,21,"Mining, Quarrying, and Oil and Gas Extraction",609675.0,610719.0,553000.0,,Natural resources and mining,1691000.0,1673000.0
2021-05,22,Utilities,460277.0,460232.0,543300.0,544100.0,,,
2021-05,23,Construction,7622890.0,7614825.0,7445000.0,,Construction,7249000.0,7315000.0
2021-05,31-33,Manufacturing,12346087.0,12358147.0,12193000.0,,Manufacturing,12150000.0,12270000.0
2021-05,42,Wholesale Trade,5852732.0,5854257.0,5674200.0,,,,
2021-05,44-45,Retail Trade,14902775.0,14919957.0,15121600.0,,,,
2021-05,48-49,Transportation and Warehousing,6614799.0,6621120.0,5937700.0,6028400.0,,,
2021-05,51,Information,2917495.0,2923512.0,2809000.0,,Information,2763000.0,2780000.0
2021-05,52-53,Financial Activities,8805933.0,8825249.0,8736000.0,,Financial activities,8247000.0,8310000.0
2021-05,54-56,Professional and Business Services,20938288.0,20945159.0,21138000.0,,Professional and business services,20870000.0,21143000.0
2021-05,61-62,Education and Health Services,23584410.0,23630371.0,23633000.0,,Education and health services,22556000.0,22780000.0
2021-05,71-72,Leisure and Hospitality,15136005.0,15080497.0,14033000.0,,Leisure and hospitality,13597000.0,13777000.0
2021-05,81,Other Services (except Public Administration),5494524.0,5490236.0,5397000.0,,Other services,4062000.0,4118000.0
